Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
361,[C][N][O][=PH1][Br][#N][I][#Branch1][#Branch1][Branch2][=S][O][P][=N][=C][=PH1][Branch2][C][=Branch2][=Ring1][Br][Ring2][=C][PH1][#N][=C][C],CNO[PH1]Br,1.04,0.48,156.93,Valid
362,[C][=N][=P][Ring1][#Branch2][=C][Ring2][=O][N][H][O][=S][=P][O][O][=S][I][O][#Branch1][PH1][#Branch1][S][PH1][=N][C][S][#Branch2][N][Branch1],C12=NP1=C2[H],0.34,0.37,70.99,Valid
363,[C][S][#Branch2][=P][O][=PH1][=S][=PH1][Br][=N][#Branch1],CS=[PH1]=S=[PH1]Br,1.93,0.47,222.86,Valid
364,[C][#Branch2][=Branch2][=S][PH1][O][=S][C][Branch1][Br][NH1][=S][=N][Br][#Branch1],C[PH1]OSC([NH1])=S=NBr,1.82,0.42,246.88,Valid
365,[C][=C][N][F][C][=S][H][Br][#Branch1][Cl][O][N][Br][Branch2][S][=Ring1][=Branch2][Br],C=CNF,0.6,0.44,61.03,Valid
366,[N][=S][PH1][F][O][Br][#N][=Ring1][Cl][Cl][Ring1][#Branch1][#Branch1][N],N=S[PH1]F,1.04,0.36,98.97,Valid
367,[C][#N][=C][#C][I][=C],C#N,0.14,0.37,27.01,Valid
368,[C][Ring1][=C][#N][#N][#Branch1][Cl][=N][=P][Br][#Branch2][Cl],C#N,0.14,0.37,27.01,Valid
369,[S],S,0.11,0.36,33.99,Valid
370,[Ring1][=C][C][N][#Branch1][N],CCN,-0.03,0.41,45.06,Valid
371,[C][=Ring1][#Branch2],C,0.64,0.36,16.03,Valid
372,[S][H][=P][Cl][H][Ring1][=Branch2][#N][=PH1][#N][=N],S[H],0.11,0.36,33.99,Valid
373,[C][=C][C][Cl][C][H][#C][=N],C=CCCl,1.41,0.33,76.01,Valid
374,[=O][#C][Br][=P][C][Branch1][PH1][=Branch1][C][H][=P][S][PH1][=C][O][#Branch2][Br][O][=S][Br][=C][#Branch1][=S][=P][#N][H][=P][=S][N][C][Br][Branch2],O=CBr,0.57,0.33,107.92,Valid
375,[=PH1][Cl][C][H][#Branch1][O][Ring1][O][Branch1][#N][#Branch1][S][C][=S][P][O][#Branch2][S][=N][N][=P][#Branch2][O][O][=P][=P][Cl][O][#Branch2][Branch2][#Branch1][C],[PH1]Cl,1.28,0.37,66.95,Valid
376,[C],C,0.64,0.36,16.03,Valid
377,[C][#C][#Branch1][C],C#CC,0.64,0.35,40.03,Valid
378,[N][C][PH1][=N][=C][=O][Br][Ring1][=Branch1][=N][Cl][C][H][#Branch2],NC[PH1]=NC=O,-0.08,0.39,105.02,Valid
379,[Ring1][PH1][PH1][Cl][=Branch1][C][Ring1][=N][I][=Branch2][Br][=Ring1][S][P][=Ring1][#C][H][C][#Branch1][Ring2][#Branch1][=N],[PH1][PH1]Cl,1.88,0.41,98.93,Valid
380,[C],C,0.64,0.36,16.03,Valid
381,[C][Ring2][C][Br][C][=N][=Branch1][Br][N][=Ring1][#Branch1][P][Br][=S][NH1][N][C][=S][Branch2][C][Ring1][H][#Branch1][C][#Branch1][=Branch2][=P][S][Br][=P][C],CC=NBr,1.39,0.43,120.95,Valid
382,[=O][O][PH1],OO[PH1],0.53,0.25,64.98,Valid
383,[C][#Branch1][S][#C][Cl][=Branch2][#Branch1][=C][=Branch1][=S][=P][#Branch1][PH1][O][O][#Branch2][=P][Ring1][=P][Ring1][Cl][S][NH1][=N][I][Branch1][Br][=O][I][=Ring1][#N][=S],C(#CCl)PS[NH1]NI,1.83,0.16,279.85,Valid
384,[O][C][Ring1][O][=S][=O][Cl][#Branch2][Ring2][C][=Branch1][S][C][I][Br][#Branch1][O][N],O=C=S=O,-0.73,0.36,75.96,Valid
385,[=Ring1][N][I],NI,0.3,0.38,142.92,Valid
386,[=S][F][=S],SF,0.8,0.39,51.98,Valid
387,[#Branch2][#Branch2][=PH1][=S][Cl][O][#Branch1][Br][C][I][=N][S][=P][S][#Branch1][=PH1][=Ring1][S][#C][N][S][O][N][Br][=O][=S][=Ring1][I][O][#Branch2][Ring1][#Branch2],[PH1]=SCl,1.01,0.34,99.93,Valid
388,[O][C][PH1][Ring2][=O][=N][S][N][C][Ring1][=C][#Branch1][=P][=N][C][Cl][=P][N][C],O1C[PH1]1SNC(N)CCl,0.78,0.22,186.99,Valid
389,[C],C,0.64,0.36,16.03,Valid
390,[#Branch2][C][F][=C],CF,0.59,0.37,34.02,Valid
391,[S][P][=N],SP=N,1.54,0.32,78.96,Valid
392,[O][=S],O=S,-0.34,0.37,47.97,Valid
393,[O][Cl][=C][#N][=N][=P][=P][Ring1][=N][=Branch1][=O][=C][#Branch1][#Branch2][NH1][Br][H][S][=P][#C][S][=C][Br][#C][=P][P][=C][#N][O][C][N][H],OCl,0.13,0.42,51.97,Valid
394,[Br][#Branch1][Br][Ring2][=Ring1][Ring1][=C][C][=S][=P][Cl][O][#Branch2][=N][Cl][Cl][PH1][=C][Br][Branch2][=Branch1][=N][Branch2][S][=P][#Branch1],BrBr,1.69,0.51,157.84,Valid
395,[=S][=O][PH1][#Branch1][=C][#Branch1][H][#C][Ring1][Cl][=P][Cl][=P][=C][#Branch1][N][=Branch2][Br][=Branch1][Branch1][#C][F][I][#N][H][=N][S][Br][=S][Cl],S=O,-0.34,0.37,47.97,Valid
396,[C][=C],C=C,0.8,0.34,28.03,Valid
397,[C][=C][=P][I][O][Cl][=N][Br][Ring1][=Branch1][=Branch2][=P][Ring2][#Branch1][=P][NH1][N][Branch1],C=C=PI,1.87,0.4,183.89,Valid
398,[#Branch1][Branch2][#N][=Branch1][#C][S][=P][=Branch1][NH1][F][C][N][=PH1][Br][Branch1][H][=N][I][#N][=P][Cl][Ring1][C][=Branch2][Ring1][C][Ring1][I][C][C][Ring1][#Branch2],N(S=P(F)CN=[PH1]Br)PCl,3.2,0.6,304.84,Valid
399,[O][O][#Branch2],OO,0.02,0.29,34.01,Valid
400,[N][=C][=C][I][=S][Ring1][O][=S][#Branch1][S][Ring1][Br][C][=Branch2][=C][=S][=C][=S][Ring1][#Branch1][O][P][N][=C][#Branch1],N=C=CI,1.18,0.41,166.92,Valid
401,[N][F][=C][Ring1],NF,-0.17,0.37,35.02,Valid
402,[C][=C][#Branch2][=S][Br][=Branch1][N][H][S][=PH1][I][F][#Branch1][O][P][S][Cl][Ring1][=Branch2][Cl][#N][C][N][Ring1][=PH1][S][#Branch1][C][=Branch2][=P][#Branch2][O],C=CN[H],0.09,0.41,43.04,Valid
403,[#Branch2][=P][#Branch1][Br][S][=P][=P][=N][H][#Branch2][Cl][#N][Branch1][C][Branch2][=Branch2][=N][Branch2][=O][S][H][C][O][=Branch2][Branch1][=P][#Branch1][=N],P(S)=P=P=N[H],2.73,0.38,142.93,Valid
404,[C][=O][Cl][Br][C][Ring1][H][#Branch1][S][Ring1][H][Cl][#Branch2][Br][=P][Cl][#Branch2][=N][=Branch1],C=O,-0.18,0.36,30.01,Valid
405,[C],C,0.64,0.36,16.03,Valid
406,[C][Cl][#C][Cl][PH1][C][#N][C][Branch2][Branch2][=S][=S][N][Cl][N][O][=P][=N][Br][S][O][#Branch2][=N][#Branch1][H][=Branch2][N][PH1][C],CCl,0.86,0.36,49.99,Valid
407,[C],C,0.64,0.36,16.03,Valid
408,[C][#C][=N][#N][=Branch2][=O][#Branch1][=C][=Branch1][C][=Ring1][Br][I][=S][=C][Cl][=Branch1][=C][C][S][#Branch2][#Branch2][Ring1][PH1][=N][#Branch2][N][H][P][#Branch1][=O][Cl],C#CN=NOCI,1.35,0.22,209.93,Valid
409,[C][=O][Cl][Cl][#N][Ring2][#Branch1][#N][#N][=PH1][=S][Br][O][=P][#Branch1][=PH1][NH1][Cl][=N][#C][#N][#Branch1][#Branch2][=C][S][Branch2][=P][N][N][O][S][Ring1],C=O,-0.18,0.36,30.01,Valid
410,[O][Br][S][Branch1][H][C][S][P][O][O][=P][NH1],OBr,0.29,0.46,95.92,Valid
411,[O][C][N][Br][F],OCNBr,-0.16,0.38,124.95,Valid
412,[C][=P],C=P,0.56,0.35,46.0,Valid
413,[=N][=N][C][S][H][=P][#Branch1][#N][#Branch1][Ring1][=O][Br][O][Ring1][N][#Branch2][N][Branch2][Ring1],N=NCS[H],0.9,0.34,76.01,Valid
414,[Br][Br][I][=S][#N],BrBr,1.69,0.51,157.84,Valid
415,[C][Ring1][=Branch1][#Branch1][=Branch2][=Branch1][#Branch1][Branch2][Ring1][NH1][=C][Ring1][S][Ring2][#Branch2][=P][=Ring1][N][O][=N][C],C,0.64,0.36,16.03,Valid
416,[H][Ring2][Br][O][=Branch1][I][C][N][Ring1][=S][N][#N][=C][=Branch2][C][Cl][=P][=Branch1][=PH1][S][=N][N][=S][#Branch1][S][Br][Ring1][#Branch2][S][P],[H],0.11,0.34,1.01,Valid
417,[=C][=C][=Ring1],C#C,0.25,0.33,26.02,Valid
418,,N/A,,,,
419,[C][Cl][Cl][O][Br][Cl][#N][#Branch1][Cl][H][O][Branch2][C][H][=Branch2][#N][#Branch1][PH1][Branch1][=N][=P][C][N][Branch1][S][=C][Ring1][#Branch2][PH1][=C][Br][=PH1],CCl,0.86,0.36,49.99,Valid
420,[N][=O][#Branch1][S][O][PH1][Br][#Branch1][H][=S][Ring2][#N][C][Ring1],N=O,0.33,0.38,31.01,Valid
421,[=C][H][=N][P][#Branch1][O][NH1][#C][=S][I][Ring1][=C][O][=S][O][=N][=P][F][H][=N][Branch1][=C][=N][S][#N][C][Ring1][Br][I][#Branch2][#Branch1][Branch1],C[H],0.64,0.36,16.03,Valid
422,[C][=Branch1][=P][O][=N][PH1][Ring2][=PH1][Cl][S][Br][O][#Branch2][#C][PH1][O],C(O)=N[PH1]SBr,2.12,0.41,186.89,Valid
423,[C][F][NH1][F][=Branch1][Branch1][=S],CF,0.59,0.37,34.02,Valid
424,[=Branch1][C],C,0.64,0.36,16.03,Valid
425,[F][PH1][Ring1][=Branch1][S][=P][=Ring1][O],F[PH1]S=P,1.34,0.39,115.94,Valid
426,[F][S][Cl][=C][F][C],FSCl,1.76,0.43,85.94,Valid
427,[=C][=C][#Branch1][Ring1][#Branch2][Br][=C][S][#Branch2][=Ring1][PH1][Br][Ring1][N][N][N][NH1][Ring1],C1=C(Br)CS1(Br)NN=[NH1],2.8,0.59,272.86,Valid
428,[C][=N][F][H][=P][#N][=P][=Branch2][Branch2][#Branch1][=Branch2][C][O][N][=Branch1][Ring2][Ring1][=N][=P][Branch1][C][S][Branch1][Br][Branch1][=S][=P][#Branch2][=PH1][NH1][#Branch2][O],C=NF,0.57,0.35,47.02,Valid
429,[C][C][N][Br][=P][Cl][#Branch2][=C][PH1][=N][#Branch2][PH1][=Branch1][O][S][#N][#N][=Ring1][S],CCNBr,0.91,0.51,122.97,Valid
430,[Ring1][=C][Cl][=N][S][O],CCl,0.86,0.36,49.99,Valid
431,[O][#Branch2][I][=Branch1][=C][O][=N][Cl][#N][#Branch2],OCONCl,-0.39,0.28,96.99,Valid
432,[C][=Ring1],C,0.64,0.36,16.03,Valid
433,[N][#Branch2][H][#Branch1][=PH1][Ring1][I][=P][#C][PH1][O][=N][=P][#N][N][=S][#Branch1][O][P][=P][PH1][#N][H][C][=C][C][C][N][H][=P][H][=S],N(=[PH1]P#C[PH1])ON=P#N,2.96,0.5,196.92,Valid
434,[C],C,0.64,0.36,16.03,Valid
435,[O][=P][=P][=C],O=P=P=C,1.04,0.41,93.97,Valid
436,[C],C,0.64,0.36,16.03,Valid
437,[O][#Branch1][Br][=P],OP,-0.23,0.38,49.99,Valid
438,[C][Ring2][#N][Ring2][Br][C][S],CBr,1.01,0.39,93.94,Valid
439,[N],N,0.16,0.4,17.03,Valid
440,[C][=C][Br][#Branch2][P][#Branch2][Ring2][F][O][#C][O][Ring1][Br][#Branch1][=P][P][=C][=N][I][=N][#Branch2][H],C=CBr,1.52,0.44,105.94,Valid
441,[C][O][O][=Branch2][Cl][Ring1],COOCl,0.72,0.34,81.98,Valid
442,[C][=C][#N][=Branch2][=S][=C][NH1][Branch2][N][Br][H][C][S][Cl][F][PH1][Branch2][=N][Cl][#Branch1][=N][H][=P][#Branch1][C],C=C=NS=C[NH1]NBr,0.39,0.2,194.95,Valid
443,[=O][Branch1][=N][#C][NH1][#Branch2][=Branch2][Ring2][Branch2][Br][I][#N][O][#N][Branch1][Ring2][C][Br][=C][=N][#C][O][S][=O][Ring1][=PH1][=S][#Branch2][#Branch2][N][H][Cl],O1C[NH1]1,-0.52,0.37,45.02,Valid
444,[C],C,0.64,0.36,16.03,Valid
445,[=N][H][C][Ring1][=N][#N][C][C][Ring1][#Branch1][O][Branch2][H][#Branch1][=S][#Branch1][Ring1][=C][=C][C][=C][=Branch1][C][=Branch1][I][#Branch2][O][=S][#Branch1][=Branch1][Branch1][Cl],N[H],0.16,0.4,17.03,Valid
446,[NH1][=Ring1][=O][=Branch2][#Branch1][#Branch1][Br][#N][=N],[NH1],-0.27,0.34,15.01,Valid
447,[C][Ring1],C,0.64,0.36,16.03,Valid
448,[C][S][Branch1][#Branch2][O][#N][C][Br][Ring2][H][=S][=N][=Branch2][Br][=P][NH1][Branch1][Cl][=P][#C][O][N][C][=Branch2][C][=S][O],CS(ONCBr)Br,1.72,0.35,250.86,Valid
449,[C][=S],C=S,0.62,0.36,45.99,Valid
450,[C][S][=C][C][N][=C],CS=CCN=C,0.58,0.3,103.05,Valid
451,[C][S][N][H],CSN[H],0.22,0.41,63.01,Valid
452,[#C][C][=P][=Branch1][Ring2][C][N],CC=PCN,0.67,0.47,89.04,Valid
453,[Ring1][PH1][H],[PH1][H],0.33,0.34,32.99,Valid
454,,N/A,,,,
455,[C][#C][Ring1][=Ring1][=P][H][H][=Branch1][C][H],C#C,0.25,0.33,26.02,Valid
456,[N][=N][PH1],N=N[PH1],1.08,0.32,61.0,Valid
457,,N/A,,,,
458,[C][H][Ring1][=Branch2][O][Branch2][=Branch2][PH1][=C][=C][Ring1][#N][NH1][PH1][#Branch1][N][Branch1][=P][I][S][=C][=C][Ring2][F][S][=P][Branch2][H][C][Ring1],C[H],0.64,0.36,16.03,Valid
459,[N][=N][F][Branch1][C],N=NF,0.9,0.39,48.01,Valid
460,[C][#C][S][P][=C],C#CSP=C,1.6,0.36,101.97,Valid
461,[C][H][Ring1][I][=C],C[H],0.64,0.36,16.03,Valid
462,[=C][H][N][N][S][Ring1][=Branch2][P][Cl][S][#N][C][H][Cl][N][O][=N][=S][Branch2][Ring1][#Branch1][S][=P][#Branch1][Br][O][=PH1][#Branch2][Ring2][=P][Branch2][#N],C[H],0.64,0.36,16.03,Valid
463,[C],C,0.64,0.36,16.03,Valid
464,[C][H][=P],C[H],0.64,0.36,16.03,Valid
465,[C][O][PH1][=S][=P][Br][Cl][Ring1][#Branch1][S][#Branch2][=N][=Branch1][I][#N][=N][#Branch1][Ring2][C][N][#C][H][Br][F][H][Br][=PH1][Branch2][=N][=C][=C][P],CO[PH1]=S=PBr,2.4,0.6,204.86,Valid
466,[C][=C][Ring2][Br][#Branch2][=P][C][O][O][N][=C][#Branch1][#N][C][Branch2][Branch2][=P][=Branch1][Branch1][Br][Cl][S][=O][#Branch2][=N][Br][Ring1][Br][I][Br],C#CPCOON=C(C1)P1Br,2.28,0.25,252.91,Valid
467,[C][#Branch2][NH1][Ring1],C,0.64,0.36,16.03,Valid
468,[=Branch1][=PH1][=S][Br][S][Ring1][=P],[PH1]=SBr,1.17,0.38,143.88,Valid
469,[=N][#Branch2][N][Ring1][#C][=N][Cl][#Branch2][#Branch1][=P][Cl],N=C=NCl,0.89,0.42,75.98,Valid
470,[=S][=Branch2][Cl][I][S][=PH1][Cl][C][#Branch2][#Branch1][O][Ring1][Ring1][=N][Branch1][Ring1][O][#Branch2][N][O][=S][S][I][Ring1][=S][=N][=C][=C][=S][Ring1][=C][N],S(S)=[PH1]Cl,1.39,0.28,132.91,Valid
471,[Ring1][H][C][C][=PH1][H][O][=C][=N][C][=C][Ring1][#N][H][#Branch1][=C],[H]CC=[PH1][H],0.68,0.36,61.02,Valid
472,[Branch1][O][#Branch2][P][=Branch2][C][#Branch2][PH1][=N][#N][Br][#Branch2],OC=NBr,0.88,0.38,122.93,Valid
473,[C][=P][Br][=C][=N][Cl][=N][PH1][#Branch2],C=PBr,1.67,0.43,123.91,Valid
474,,N/A,,,,
475,[Ring1][=C][=S][=C][#N][S][Br][=Branch1][C][Ring1][#Branch2][#Branch2][#Branch1][N][NH1][N][=O][I][=S][=P][Branch1][Ring1][#N][C][=N][=C][C][=C][=C][=N][Ring1][Ring1],C=S=C=NSBr,2.02,0.34,182.88,Valid
476,[C][O][=C][Cl][#Branch1][O][=N],COCCl,0.83,0.42,80.0,Valid
477,[Branch1][=S][#C][#Branch1][Ring1][=C],S#C,0.51,0.38,45.99,Valid
478,[=N],N,0.16,0.4,17.03,Valid
479,,N/A,,,,
480,[O][O][I][=N][=Ring1][=S][P][=P][Cl],OOI,0.83,0.32,159.9,Valid
481,[C][=S][Ring1][#Branch2],C#S,0.51,0.38,45.99,Valid
482,[F][#Branch1][#N][P][S][Br][H][O][=P][#N][#N][=PH1][#Branch2],FNPSBr,2.01,0.51,176.88,Valid
483,[N][#C],N#C,0.14,0.37,27.01,Valid
484,[C],C,0.64,0.36,16.03,Valid
485,[Ring1][#C][N][S][=S][=P][N],CNS=S=PN,-0.33,0.35,141.98,Valid
486,[N][Br][H][Ring1][#Branch1][#Branch2][=C][Cl][=N][O][#Branch1],NBr,0.26,0.43,94.94,Valid
487,[N][I][=S][=Ring1][O],NI,0.3,0.38,142.92,Valid
488,[N][#Branch1][#Branch1][O][N][=N][NH1][P][NH1][#Branch1][=S][H][C][#N][C][H][=C][=S][Br][Ring2][Ring1][#Branch1][=Ring1][#Branch1][Br][#Branch1][Br][=C][=C][=Branch1][Branch1][=Ring1],N(ON=N[NH1]P[NH1])S[H],0.02,0.23,154.0,Valid
489,[=O][H][Ring2][Ring2][C][Ring2][#Branch2][O][=Ring1][=P][PH1][S][Ring1][#C][=S][=C][=N][=P][=N][#N][PH1][#Branch1][Ring1][C][C][N][Ring1][S][Cl][Branch1][#Branch1][#C],O[H],-0.82,0.33,18.01,Valid
490,[C][Branch1][#Branch1][=S][PH1][Ring2][Branch2][C][O][=N][#Branch1][N][=PH1][#C][F][#Branch2][#Branch1][O][#N][C][#Branch1][Br][PH1][=S][C][S][F][=Branch2][#N][#N][Ring1][#Branch2],C1(S[PH1]1O)=NN=[PH1]=CF,1.63,0.38,184.95,Valid
491,[Ring1][Br][=C][=N][S],BrC=NS,1.25,0.38,138.91,Valid
492,[=S][S][H][=C][F][=Branch2][#Branch1][#N][Ring2][H][=Branch1][Ring1][=P][=S][N][C][N][P][=P][H],SS[H],0.76,0.3,65.96,Valid
493,[C][=P][N][=Ring1][=P][O][Cl][=P][Cl][N][=Branch2][F][=O][C][=S],C=P#N,0.84,0.38,58.99,Valid
494,[Br][=P][F][=S][S][Ring2][Ring2][Branch2][#Branch1][PH1][Branch1][Ring1][Ring2][=Branch1][C][S][=C][=Branch1][C][P][O][=PH1][S][Ring1][Branch2][#C][=N][=Branch1][Br][=C][Cl][=N],BrPF,1.86,0.44,129.9,Valid
495,[C][#Branch2][Ring1][N][=P][Ring1][#Branch1][=Ring1][C][Branch2][Branch2][N][O][=Ring1][#Branch1][Ring2][PH1][=P][=C][N][Br][Branch2][O][S][=P][C][H][=O][#C][=N][I][#N],C(#P)N,0.27,0.31,58.99,Valid
496,[Ring1][S][N][O][S][NH1][=N],SNOS[NH1]N,-0.62,0.1,126.99,Valid
497,[C],C,0.64,0.36,16.03,Valid
498,[=Branch1][#C][=C][C][C][O][=N][O],C=CCCONO,0.47,0.31,103.06,Valid
499,[C][S][#N][C][#N][=N][=S][F][C][Cl][=N][=C],CS#N,0.83,0.41,61.0,Valid
500,[=C],C,0.64,0.36,16.03,Valid
